kind,etag,id,snippet.channelId,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.channelId,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,replies.comments
youtube#commentThread,T1CyvqdC8PZKnmwvIbGwFlf5D8s,Ugw3_KAqOHt1p-oLO394AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,LPkUxLHvUdU263V7efdsoUjwXS0,Ugw3_KAqOHt1p-oLO394AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,"Francely, en Belice se usa el dólar beliceño (no americano) y siguen siendo colonia británica, eso NO es gentrificación. Mérida NO es colonia!<br>En Singapur no hay ningún monumento a algún conquistador.<br><br>Iker y Teca, los restos de Cortés están Pino Suárez. Montejo primero se dirigió a Chichen itza y SÍ había itzaes, ahí estuvieron juntos, pero cuando comenzaron a adueñarse de sus mujeres y querer cobran o puestos los expulsaron y persiguieron (en su camino fundaron Dzilam y otras ciudades). Despues vino la fundación de Mérida y lo que antes se llamaba Tho.<br>El fray Diego de Landa fue quien hizo el acto de fé y quemo casi todo el conocimiento maya. DIEGO DE LANDA!<br><br>Y así como ésto, muchas y muchas inconsistencias y errores.<br>Cuando se habla de historia se debe ser muy preciso, sino se convierte en un ensayo de secundaria.<br>Ahora entiendo porque se llama historia para tontos... A ese sector van dirigidos.<br>Primer y último episodio que escucho.","Francely, en Belice se usa el dólar beliceño (no americano) y siguen siendo colonia británica, eso NO es gentrificación. Mérida NO es colonia!
En Singapur no hay ningún monumento a algún conquistador.

Iker y Teca, los restos de Cortés están Pino Suárez. Montejo primero se dirigió a Chichen itza y SÍ había itzaes, ahí estuvieron juntos, pero cuando comenzaron a adueñarse de sus mujeres y querer cobran o puestos los expulsaron y persiguieron (en su camino fundaron Dzilam y otras ciudades). Despues vino la fundación de Mérida y lo que antes se llamaba Tho.
El fray Diego de Landa fue quien hizo el acto de fé y quemo casi todo el conocimiento maya. DIEGO DE LANDA!

Y así como ésto, muchas y muchas inconsistencias y errores.
Cuando se habla de historia se debe ser muy preciso, sino se convierte en un ensayo de secundaria.
Ahora entiendo porque se llama historia para tontos... A ese sector van dirigidos.
Primer y último episodio que escucho.",@Angelina_Quiroz,https://yt3.ggpht.com/ytc/AIdro_lImVEFshLCzwKPwsKil_wI44W3fLO5VgHisdM_-Jtm5ZMsPSMXFTRot9-tSU3zW38Ftw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Angelina_Quiroz,UChqh572KFTwDMhbitpiJJhA,True,none,4,2024-07-16T04:41:55Z,2024-07-16T04:45:47Z,True,0,True,
youtube#commentThread,hln4no1uTyH0tc1KDCJWmXf8DNc,Ugwi7-Ksr_2Syn1aZd14AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,wmzBMmwFLFeTqGKclXcwYXcYV9I,Ugwi7-Ksr_2Syn1aZd14AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,Lo mejor es la casaca de Venados!,Lo mejor es la casaca de Venados!,@oguerra31,https://yt3.ggpht.com/ytc/AIdro_mFOiVg1Uq2q_LnfGJz_NW1zF363d70AbPGvTjoz54=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@oguerra31,UCuWvtanCEZgfXayybtJhBcQ,True,none,0,2024-06-29T05:01:40Z,2024-06-29T05:01:40Z,True,0,True,
youtube#commentThread,iQyM4Fym5XViWBi4jlrDfxCwqvM,UgyEiq7UJg1snpD-fQx4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,RfgLvyNEf_DDVZmkCBp9n-yccy0,UgyEiq7UJg1snpD-fQx4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,Hagan la batalla de Tarapaca!,Hagan la batalla de Tarapaca!,@TheRajastein,https://yt3.ggpht.com/ytc/AIdro_nMGdR3HSixC7x_4tZIarvZgWCMIsGutyMTe5A4bc8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TheRajastein,UCsKtbwyHM0U7dzSur9a-PGg,True,none,0,2024-06-12T00:09:08Z,2024-06-12T00:09:08Z,True,0,True,
youtube#commentThread,0hwExtHkF46kYnyNGfUEdfrcbhE,Ugx6eHKQh-x8nJhuj854AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,iUbv-Qd2Pj5Lnx-iXgMWA5nmHiQ,Ugx6eHKQh-x8nJhuj854AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,"Es Historia PARA tontos, se supone que el tonto soy yo, no ustedes 🤣","Es Historia PARA tontos, se supone que el tonto soy yo, no ustedes 🤣",@joandavidfajardorios6024,https://yt3.ggpht.com/ytc/AIdro_mVIC891yV4gboGi32couoc_peRct7FUm6rvUkfkmIGJcY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@joandavidfajardorios6024,UCj08F_WmpU3XbjyRf6m72Bw,True,none,0,2024-06-05T15:50:16Z,2024-06-05T15:50:16Z,True,0,True,
youtube#commentThread,qbKLdpwu1pZM_0REMtBKFX08gAE,Ugy5O8KPegCQcSQnekd4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,NoifV6JfpXdaUFGwWrOYMIeO7iI,Ugy5O8KPegCQcSQnekd4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,Siempre vengo a Youtube porque dicen que Iker está chulón y termino decepcionado 🫤,Siempre vengo a Youtube porque dicen que Iker está chulón y termino decepcionado 🫤,@alvarocampos2966,https://yt3.ggpht.com/ytc/AIdro_k7TLyNcTul6KpEgNhTtcVPv_i6lN3sgOVa5NbUsic=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@alvarocampos2966,UCZUAPsWH8FPp7gmos_a4qpw,True,none,0,2024-05-28T14:59:17Z,2024-05-28T15:00:19Z,True,0,True,
youtube#commentThread,FUUJU4iKTfqjUN8O9WqDdKv-3rM,Ugy1L5Wc-szIXb1lw9R4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,HGfO8uq3WyWxcsAiWisJo3AFKHs,Ugy1L5Wc-szIXb1lw9R4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,"¡Gentrificacion Positiva! Hola soy de Tijuana, desde que tengo memoria (tengo 40 años) Aquí las compras y el uso del dolar es de uso diario. Les mando un saludo y los 20 minutos de inicio son tan interesantes como el resto del tiempo del tema que se tratá","¡Gentrificacion Positiva! Hola soy de Tijuana, desde que tengo memoria (tengo 40 años) Aquí las compras y el uso del dolar es de uso diario. Les mando un saludo y los 20 minutos de inicio son tan interesantes como el resto del tiempo del tema que se tratá",@Foxerer,https://yt3.ggpht.com/ytc/AIdro_mqSNezEJnqcZwQIrJ0OxSJBrpG74YnLXhSC9m-iB1FADr-=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Foxerer,UC7UBfty07JrNjauVNVBHIIQ,True,none,0,2024-05-24T21:59:13Z,2024-05-24T21:59:13Z,True,0,True,
youtube#commentThread,I63oWQsO9sNCuW1rA6UY8W7JMIY,UgyyEM7smra8pFrGEFx4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,OwDetg65XNFMiAhTLaWp_SjXidE,UgyyEM7smra8pFrGEFx4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,No puede ser... Leyeron mi comentario!!! Los amo mucho más que ayer!! Capitulo genial!!,No puede ser... Leyeron mi comentario!!! Los amo mucho más que ayer!! Capitulo genial!!,@osmarbuenfil1147,https://yt3.ggpht.com/ytc/AIdro_nY5zei3TAo5G5-7n90j72i1QzorMRcwglUugkJTgM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@osmarbuenfil1147,UCtC1-hSv1SBjUqCU8zP7ORw,True,none,0,2024-05-22T23:51:16Z,2024-05-22T23:51:16Z,True,0,True,
youtube#commentThread,8cA7uXKntZSEzwmG-hFl5H5ly54,UgySp0YBbeoEZWJz4gJ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,KYNMehfPu6TRoLMwpu_IJ5VkY_w,UgySp0YBbeoEZWJz4gJ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,"Es renombrado en Mérida por los grupos pudientes, básicamente por los panistas, por más que se ha pedido que se le señale Cómo conquistadores incluso asesinos o genocidas se oponen a ello","Es renombrado en Mérida por los grupos pudientes, básicamente por los panistas, por más que se ha pedido que se le señale Cómo conquistadores incluso asesinos o genocidas se oponen a ello",@ort9707,https://yt3.ggpht.com/ytc/AIdro_ngRB5573lCQQCDbttqKt5LEuTnYqNqtCJm8hBKhROgzctp8kdESRIcRFD2r9DO68HznQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ort9707,UCx2XxC9vTcy52bvUiFB80Bw,True,none,0,2024-05-19T19:20:29Z,2024-05-19T19:20:29Z,True,0,True,
youtube#commentThread,RNfdFHZSaXz59y4gULW35wlhvT4,UgzfP8RauyaiNVQbVpV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,4kYtTY9eLtoNsH6zukZEG_eHBZE,UgzfP8RauyaiNVQbVpV4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,Hola. Soy una señora que podría ser mamá de cualquiera de ustedes 😂 Me gusta mucho la historia (de hecho he dado clases a nivel universitario) y no me pierdo su podcast en Spotify. No tengo inconveniente con el lenguaje y me encantan los 20 minutos de intro. Saludos!!,Hola. Soy una señora que podría ser mamá de cualquiera de ustedes 😂 Me gusta mucho la historia (de hecho he dado clases a nivel universitario) y no me pierdo su podcast en Spotify. No tengo inconveniente con el lenguaje y me encantan los 20 minutos de intro. Saludos!!,@nohemifuentes4495,https://yt3.ggpht.com/ytc/AIdro_kRQdfChr5SdhHoj3xUgXLGElaYO4NC7qe7_9MHCpk3Rtk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nohemifuentes4495,UCvjP8G48dqYWz4EfJdVnecg,True,none,8,2024-05-18T19:50:18Z,2024-05-18T19:50:18Z,True,0,True,
youtube#commentThread,l2PLA3VWbiPFmmX4okkwu_uQfec,UgzM1DzqO-HpKtuW3KJ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,youtube#comment,vheCtZxXJEM2ntXbdEEhNQKvqWs,UgzM1DzqO-HpKtuW3KJ4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,o7l_d75l-eo,Me encantó el contenido PERO la invitada pésima...,Me encantó el contenido PERO la invitada pésima...,@leslieberenice,https://yt3.ggpht.com/ytc/AIdro_lqfxvbzy9zDp_Ajl5_oSkQpN9b-quQiSp7f2fLZBg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@leslieberenice,UCKqjOZZcEPeLvuki7fciiCg,True,none,0,2024-05-18T16:41:01Z,2024-05-18T16:41:01Z,True,0,True,
