publishedAt,channelId,title,description,channelTitle,playlistId,position,videoId,videoOwnerChannelTitle,videoOwnerChannelId
2024-06-15T02:01:18Z,UCeYSnd34IPe57sM8hkjWhrw,Teotihuacan pt 2 - Historia para totos Podcast - Episodio #105,"¡Acompáñenos a seguir descubriendo  esta increíble zona arqueológica y su historia! Una de las culturas más grandes y desconocidas que se encuentran en México y est ocasión estaremos explorando sus principales edificaciones y arquitectura de esta gran ciudad prehispánica. 

¡Síguenos en Instagram! @historiaparatontos y @historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,13,qSjSUN6Rxhk,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-06-04T17:28:55Z,UCeYSnd34IPe57sM8hkjWhrw,Julio César pt #1 - Historia Para Tontos Podcast - Episodio #104,"¡Amigos, acompáñenos a estudiar la vida de este gran personaje histórico; uno de los conquistadores más grandes que tuvo Roma! Esta vez exploraremos sus inicios antes de ser el gran César que trascendió hasta hoy en día.
¡Siguenos en Instagram!
- @historiaparatontospodcast5148 
- @historiaparatontospodcast5148

¡Y recuerden que no hay una historia si no hay un weeeeeey!",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,14,ShW6FY-vbmo,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-05-22T20:11:43Z,UCeYSnd34IPe57sM8hkjWhrw,La Guerra de los Pasteles - Historia Para Tontos Podcast - Episodio #103,"¡Amigos, acompáñenos el día de hoy en este bello podcast explorando la historia mexicana! La Primera Intervención Francesa o la Guerra de los Franceses fue un conflicto que enfrentó al Imperio Francés y a México debido a unos ¿¡PASTELES!? 
¡Siguenos en Instagram!
- @historiaparatontospodcast5148 
- @historiaparatontospodcast5148

¡Y recuerden que no hay una historia si no hay un weeeeeey!",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,15,rx108V8Ydtc,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-05-15T00:55:50Z,UCeYSnd34IPe57sM8hkjWhrw,Francisco de Montejo ft Francely Abreu - Historia Para Tontos Podcast - Episodio 102,"¡Amigos! Acompáñenos a descubrir un poco de la conquista de la Península de Yucatán! En especial hablaremos del conquistador Francisco de Montejo; un personaje muy importante para la historia yucateca.
Esta vez nos acompaña la gran artista, guapísima y talentosa Francely Abreu que nos hablará de su nueva canción.",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,16,o7l_d75l-eo,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-05-10T21:52:28Z,UCeYSnd34IPe57sM8hkjWhrw,Teotihuacan - Historia para totos Podcast - Episodio #101,"¡Acompáñenos a descubrir esta increíble zona arqueológica y su historia! Una de las culturas más grandes y desconocidas que se encuentran en México



Gracias por 100 capitulos, vamos por 100 mas.. ajuaaaaaa",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,17,RBnZPFhDcnk,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-04-24T23:18:08Z,UCeYSnd34IPe57sM8hkjWhrw,Imperio Japonés pt #3 - Historia Para Tontos Podcast - Capítulo 100,"Weeeeeeey, AL FIN AL FIN AL FIN LLEGÓ LLEGÓ. IMPERIO JAPONÉS PARTE 3 ALV DESPUÉS DE 2 AÑOS ALVVVV

¡Muchas gracias por su gran apoyo! ¡Empieza la segunda tenporada de este bello podcast!

►Síguenos en Instagram
 / historiaparatontospodcast  

►Síguenos en Facebook:
 / historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,18,yFHCam_Q9j4,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-04-09T18:00:31Z,UCeYSnd34IPe57sM8hkjWhrw,Espcial recapitulación del podcast - Historia para Tontos Podcast- Episodio #99,"Weeeeeeey, el día de hoy habrá chismecito, pero del podcast. Repasaremos los mejores momentos del podcast y los más divertidos a nuestro parecer jajaja. Casi 100 capítulos oficiales de Historia ParaTontos a lo largo de casi 3 años y todo se lo debemos a ustedes ¡Muchas gracias por su apoyo y por estar acompañándonos en esta gran aventura! 

►Síguenos en Instagram
 / historiaparatontospodcast  

►Síguenos en Facebook:
 / historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,19,cQ9RLDhq6JY,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-04-01T19:33:34Z,UCeYSnd34IPe57sM8hkjWhrw,Eventos históricos Paralelos - Historia para Tontos Podcast- Episodio #98,"Weeeeeeey, el día de hoy hicimos un capítulo especial que muchxs de ustedes nos pidieron que son los ""paralelisimos históricos"" que en realidad son los Eventos Históricos Paralelos. ¿Ustedes sabían que cuando se funda reinaba Cleopatra Egipto, las Grandes Pirámides de Giza llevaban 2000 años abandonadas? ¡Descubramos más datos y chismecito histórico! 

►Síguenos en Instagram
 / historiaparatontospodcast  

►Síguenos en Facebook:
 / historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,20,J5dH-jKp-ac,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-03-21T01:38:33Z,UCeYSnd34IPe57sM8hkjWhrw,Barbaroja - Historia para Tontos Podcast- Episodio #97,"Weeeeeeey, acompáñennos el día de hoy a explorar la historia de uno de los almirantes militares mas rotos de la historia. Ni Jack Sparrow ni Luffy hubieran podido contra él alv. El terror de los españoles y de los cristianos en general, el gran pirata, almirante, gobernador y corsario Barbaroja ALV

►Síguenos en Instagram
 / historiaparatontospodcast  

►Síguenos en Facebook:
 / historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,21,Go2KlhN4cQk,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-03-12T23:43:19Z,UCeYSnd34IPe57sM8hkjWhrw,Guerra de la Triple Alianza - Historia para Tontos Podcast- Episodio #96,"Weeeeeeey, acompáñennos el día de hoy a explorar la historia de unas de las mayores zapizas que existieron en el sur del continente americano. Cuando Paraguay dijo: chsm todos contra mi alv. Lo cual, spoiler alert, no salió muy bien ¡Esperen la parte dos!

►Síguenos en Instagram
 / historiaparatontospodcast  

►Síguenos en Facebook:
 / historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,22,FXxcNjTZ4qo,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-03-07T20:57:05Z,UCeYSnd34IPe57sM8hkjWhrw,Historia del rock ft Jay de La Cueva - Historia para Tontos Podcast- Episodio #95,"Weeeeeeey, acompáñennos el día de hoy a explorar la historia del rock con, posiblemente, la persona más famosa que tendremos en el podcast jajaja. El increíble Jay de la Cueva nos acompaña a aprender el origen de este género musical y nos hablará de sus experiencias y nuevos proyectos.

►Síguenos en Instagram

 

 / historiaparatontospodcast  

►Síguenos en Facebook:

 

 / historiaparatontos_podcast",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,23,PAFwYBqf_Os,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
2024-02-07T23:48:16Z,UCeYSnd34IPe57sM8hkjWhrw,Conflicto Israel 🇮🇱 vs Palestina 🇵🇸 pt #2 - Capítulo #91 - Historia Para Tontos Podcast,"Weeeeey, acompáñenos esta vez explorando la segunda parte de este gran conflicto que sigue sucediendo hoy en día. Hablaremos de la historia moderna y qué fue lo que sucedió que llevó a los ataques del año pasado por parte de ciertos grupos radicales a Israel.
►Síguenos en Instagram
  / historiaparatontospodcast  

►Síguenos en Facebook:
  / historiaparatontos_podcast.",Historia para Tontos Podcast,PLlP9CI1vpjD6siEPRL5TK3S4a6V6KDTIe,24,7Jo3NR5lgd8,Historia para Tontos Podcast,UCeYSnd34IPe57sM8hkjWhrw
